Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2015-055,(3) Design with Entitlements Approved,475 Minna,475,Minna,St,94103,3725,068,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2017-12-08T00:00:00.000,2020-02-01T00:00:00.000,John Jensen,,,2014.1442,{'url': 'http://propertymap.sfplanning.org/?search=2014.1442'},"2014.1442DNX,2014.1442ENV,2014.1442U",2015-12-10T00:00:00.000,On-site BMR Project,15,3,12,20.0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.780922549000,-122.407391963999,"{'latitude': '37.780922549', 'longitude': '-122.407391963999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-053,(5) First Construction Document Issued,3701 Noriega,3701,Noriega,St,94122,2081,001,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-06-04T00:00:00.000,2018-12-17T00:00:00.000,2018-12-17T00:00:00.000,2021-02-09T00:00:00.000,,,,2014-002414PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-002414PRJ'},"2014-002414CUA,2014-002414ENV,2014-002414PPA,2014-002414VAR",2016-05-12T00:00:00.000,Fee Payment,12,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.752807918000,-122.503572960999,"{'latitude': '37.752807918', 'longitude': '-122.503572960999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-032,(3) Design with Entitlements Approved,230 7th,230,7th,St,94103,3730,004,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2019-11-29T00:00:00.000,2022-01-22T00:00:00.000,Farella Braun + Martell LLP,,,2014.0244,{'url': 'http://propertymap.sfplanning.org/?search=2014.0244'},"2014.0244E,2014.0244ENX,2014.0244SHD,2014.0244TDM,2014.0244U,2014.0244U_OLD",2017-11-30T00:00:00.000,On-site BMR Project,40,5,35,13.00,0,0,3,2,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,37.777295299000,-122.409123492999,"{'latitude': '37.777295299', 'longitude': '-122.409123492999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-097,(1) Preliminary Phase,Transbay Block 12,,Address not yet assigned,,94105,0,0,6,Financial District/South Beach,Financial District,OCII,Multifamily Rental Program,Transbay,New Construction,Unknown,,2027-12-31T00:00:00.000,,,2027-12-31T00:00:00.000,2029-06-23T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,80,79,1,99.00,0,0,0,0,0,0,0,0,1,,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,37.784318751000,-122.394725491999,"{'latitude': '37.784318751', 'longitude': '-122.394725491999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-017,(3) Design with Entitlements Approved,3314 Cesar Chavez St,3314,Cesar Chavez,St,94110,6571,012,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2021-08-20T00:00:00.000,2023-10-14T00:00:00.000,"RG-Architecture, Inc.",,,2014-003160PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-003160PRJ'},,2019-08-22T00:00:00.000,On-site BMR Project,57,11,0,19.00,0,0,6,5,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0,37.748623000000,-122.416527000000,"{'latitude': '37.748623', 'longitude': '-122.416527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1982-001a,(2) Predevelopment Feasibility,Through Line Scattered Sites - Tower Hotel,1527,Grant,Ave,94133,0130,004,3,North Beach,North Beach,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2022-12-31T00:00:00.000,,,2022-12-31T00:00:00.000,2024-06-30T00:00:00.000,Chinatown Community Development Center,,"Through Line, L.P.",2020-009877PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-009877PRJ'},,,,33,32,1,97.00,32,0,0,0,0,0,0,0,1,Studio,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,37.801020000000,-122.407890000000,"{'latitude': '37.80102', 'longitude': '-122.40789', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2006-005,(5) First Construction Document Issued,"Trinity Plaza Apartments, Phase IV",1167,Market,St,94103,3702A,"002, 003, 004, 005",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2016-10-24T00:00:00.000,2018-08-08T00:00:00.000,2018-08-08T00:00:00.000,2020-10-01T00:00:00.000,Trinity Properties,,,2002.1179,{'url': 'http://propertymap.sfplanning.org/?search=2002.1179'},"2002.1179C,2002.1179E,2002.1179K,2002.1179M,2002.1179Q,2002.1179T,2002.1179W,2002.1179X,2002.1179Z",2006-08-03T00:00:00.000,On-site BMR Project,493,74,419,15.00,0,0,0,0,0,0,0,0,0,,74,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,37.778456858000,-122.413427037999,"{'latitude': '37.778456858', 'longitude': '-122.413427037999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-020,(1) Preliminary Phase,Balboa Reservoir Building B,,Address not yet assigned,,94112,0,0,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,BRIDGE Housing Corporation,Mission Housing Development Corporation,,Not Yet Available,,,,,69,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0E-12,0E-12,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-083,(4) Site Work Permit Issued,98 Pennsylvania,98,Pennsylvania,Ave,94107,3948,002,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-12-05T00:00:00.000,,2019-06-05T00:00:00.000,2021-07-29T00:00:00.000,Ciaran & Patrick Harty,,,2013.0517,{'url': 'http://propertymap.sfplanning.org/?search=2013.0517'},"2013.0517E,2013.0517PPA,2013.0517U,2013.0517X",2016-09-22T00:00:00.000,On-site BMR Project,48,7,41,15.00,0,1,4,2,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37.765561805000,-122.394221041999,"{'latitude': '37.765561805', 'longitude': '-122.394221041999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-046,(4) Site Work Permit Issued,180 Jones (Land Dedication Site),180,Jones,St,94102,0343,014,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-09-30T00:00:00.000,2020-09-11T00:00:00.000,,2021-09-30T00:00:00.000,2023-07-01T00:00:00.000,Tenderloin Neighborhood Development Corporation,,"180 Jones Associates, L.P.",2020-003840PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-003840PRJ'},,,,70,69,1,99.00,0,69,0,0,0,0,0,0,1,studio,69,0,0,36,0,0,0,0,35,13,0,0,0,21,0,0,0,0,0,0,0,0,37.782825921000,-122.412155091999,"{'latitude': '37.782825921', 'longitude': '-122.412155091999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
